EN,EM,Description,Composition strategy,Attribute,generated_sentence
short story,⌛📔,"[':hourglass_done:', ':notebook_with_decorative_cover:']",Direct,DURATION,"""Time is running out to finish my short story."""
short story,⌚📖,"[':watch:', ':open_book:']",Direct,DURATION,"""Once upon a time, a timeless tale unfolded within the pages of a book."""
short story,🤏🗣️,"[':pinching_hand:', ':speaking_head:']",Direct,DURATION,"""Tell me a brief tale."""
short story,🤏🗣️📖,"[':pinching_hand:', ':speaking_head:', ':open_book:']",Direct,DURATION,"""Tell a brief tale."""
short story,⌛📖,"[':hourglass_done:', ':open_book:']",Direct,DURATION,"""While time ticks away, I immerse myself in a captivating short story."""
short life,🩳👽,"[':shorts:', ':alien:']",Direct,DURATION,"""Life can be short and fleeting, much like a summer day spent in swim trunks and a pair of goggles."""
short life,🤏☠️,"[':pinching_hand:', ':skull_and_crossbones:']",Direct,DURATION,"""Life can be short and fleeting, just like a delicate touch."""
short life,⏳🕐👩‍🦳🧓,"[':hourglass_not_done:', ':one_o’clock:', ':woman_white_hair:', ':older_person:']",Metaphorical,DURATION,"Time is fleeting for the elderly woman and man, reminding us of the brevity of life."
short life,👋😀⌛,"[':waving_hand:', ':grinning_face:', ':hourglass_done:']",Metaphorical,DURATION,"""Life is brief, so let's greet each moment with a smile!"""
short life,⏳🫀💓,"[':hourglass_not_done:', ':anatomical_heart:', ':beating_heart:']",Metaphorical,DURATION,"""Time is fleeting, and our hearts beat with a love that is all too brief."""
short life,👨‍👩‍👧‍👧👉💀👨‍👩‍👧,"[':family_man_woman_girl_girl:', ':backhand_index_pointing_right:', ':skull:', ':family_man_woman_girl:']",Metaphorical,DURATION,"A family of four experiences a tragic loss, reminding us that life can be unexpectedly short."
short life,👶🧓⚰️⌛🤏,"[':baby:', ':older_person:', ':coffin:', ':hourglass_done:', ':pinching_hand:']",Metaphorical,DURATION,A baby grows old quickly and faces the inevitability of death.
short life,⌛⚰️,"[':hourglass_done:', ':coffin:']",Metaphorical,DURATION,"Time is fleeting, and life is often too brief."
far journey,⏱️🗺️🥲,"[':stopwatch:', ':world_map:', ':smiling_face_with_tear:']",Direct,DISTANCE,"""Time flies as I embark on a long and emotional journey."""
far journey,👣🛣️,"[':footprints:', ':motorway:']",Metaphorical,DISTANCE,"""Embarking on a long journey down the winding road."""
far journey,😪🗺️,"[':sleepy_face:', ':world_map:']",Metaphorical,DISTANCE,"After a long and tiring journey, I felt exhausted and lost as I stared at the map, wondering how much farther I had to go."
far journey,⏳🚗✈️🛤️,"[':hourglass_not_done:', ':automobile:', ':airplane:', ':railway_track:']",Direct,DISTANCE,"The journey ahead will be long, with time passing as we travel by car and plane along the tracks."
far journey,🛤🚢🗺,"[':railway_track:', ':ship:', ':world_map:']",Metaphorical,DISTANCE,"Embarking on a long journey across distant lands by train and ship, guided by a map."
far journey,🛣️🚌,"[':motorway:', ':bus:']",Metaphorical,DISTANCE,The bus is embarking on a long journey down the highway.
far journey,🗺️🔭,"[':world_map:', ':telescope:']",Direct,DISTANCE,"""Embarking on a far journey to explore uncharted territories with my map and telescope."""
far side,🧍🌎🧍,"[':person_standing:', ':globe_showing_Americas:', ':person_standing:']",Metaphorical,DISTANCE,Two people standing on opposite sides of the Earth.
far side,↙️🛣️,"[':down-left_arrow:', ':motorway:']",Metaphorical,DISTANCE,"""Take the road to the far side."""
far side,😪👉,"[':sleepy_face:', ':backhand_index_pointing_right:']",Metaphorical,DISTANCE,"""I'm feeling sleepy and longing for the far side."""
far side,🚫🔜📏,"[':prohibited:', ':SOON_arrow:', ':straight_ruler:']",Metaphorical,DISTANCE,"""Do not measure the distance to the far side."""
far side,↔️,[':left-right_arrow:'],Single,DISTANCE,The far side of the room is where the echo can be heard the loudest.
far side,⬆️,[':up_arrow:'],Single,DISTANCE,"""Look up to the far side of the sky."""
far side,↗️↗️,"[':up-right_arrow:', ':up-right_arrow:']",Reduplication,DISTANCE,"""Look towards the far side where the horizon meets the sky."""
far trek,🚶🌾🏔️🧭,"[':person_walking:', ':sheaf_of_rice:', ':snow-capped_mountain:', ':compass:']",Metaphorical,LENGTH,"""Embark on a long trek through the fields and mountains with a compass in hand."""
far trek,🚶‍♀️🚶💦,"[':woman_walking:', ':person_walking:', ':sweat_droplets:']",Metaphorical,LENGTH,"A woman and a man are walking a long distance, sweating from their far trek."
far trek,😵‍💫🚶‍♀️,"[':face_with_spiral_eyes:', ':woman_walking:']",Metaphorical,LENGTH,"Feeling dizzy from the long trek, she keeps pushing forward."
far trek,🚫🔜🥾🚶,"[':prohibited:', ':SOON_arrow:', ':hiking_boot:', ':person_walking:']",Direct,LENGTH,"""Do not go on a long trek."""
far trek,🧗‍♂️🗺,"[':man_climbing:', ':world_map:']",Metaphorical,LENGTH,"""A climber embarks on a long journey through uncharted territories."""
far trek,🚶‍♂️🥾,"[':man_walking:', ':hiking_boot:']",Metaphorical,LENGTH,A man is setting out on a long hiking journey.
far trek,🚶🎒🌲🌲,"[':person_walking:', ':backpack:', ':evergreen_tree:', ':evergreen_tree:']",Metaphorical,LENGTH,"""Setting off on a long trek through the forest with my backpack."""
far country,🌎↔️🌏,"[':globe_showing_Americas:', ':left-right_arrow:', ':globe_showing_Asia-Australia:']",Metaphorical,DISTANCE,"""Traveling between distant countries around the world."""
far country,🧳🛫🕧,"[':luggage:', ':airplane_departure:', ':twelve-thirty:']",Metaphorical,DISTANCE,"""Packing my suitcase for a departure to a faraway country at noon."""
far country,😵‍💫🇦🇽,"[':face_with_spiral_eyes:', ':Åland_Islands:']",Metaphorical,DISTANCE,"""I feel dizzy thinking about traveling to a faraway country like the Azores."""
far country,🚫🔜🇺🇸🇨🇵🇨🇮🇦🇨🇦🇽,"[':prohibited:', ':SOON_arrow:', ':United_States:', ':Clipperton_Island:', ':Côte_d’Ivoire:', ':Ascension_Island:', ':Åland_Islands:']",Direct,DISTANCE,"""Traveling to distant countries like the USA, France, and Canada is currently not allowed."""
far country,🗺↔️,"[':world_map:', ':left-right_arrow:']",Direct,DISTANCE,Exploring a distant land using a map.
far country,🗺️🛳️🛫,"[':world_map:', ':passenger_ship:', ':airplane_departure:']",Metaphorical,DISTANCE,"""Let's embark on a journey to a distant country by sea and air!"""
far country,🌎⤴️↗️,"[':globe_showing_Americas:', ':right_arrow_curving_up:', ':up-right_arrow:']",Metaphorical,DISTANCE,"""Traveling to a distant country across the globe."""
average people,👧🧒👦,"[':girl:', ':child:', ':boy:']",Semantic list,COMMONNESS,"""These are just ordinary kids."""
average people,🧑‍🤝‍🧑👭👬🙆‍♀️,"[':people_holding_hands:', ':women_holding_hands:', ':men_holding_hands:', ':woman_gesturing_OK:']",Direct,COMMONNESS,"""Average people come together and support one another, regardless of their differences."""
average people,😕👨,"[':confused_face:', ':man:']",Direct,COMMONNESS,The average person often feels confused about various aspects of life.
average people,👨🧑👩👧,"[':man:', ':person:', ':woman:', ':girl:']",Semantic list,COMMONNESS,"A diverse group of average people includes men, women, and children."
average people,🧍‍♂️🧍‍♀️🧍,"[':man_standing:', ':woman_standing:', ':person_standing:']",Semantic list,COMMONNESS,"""Average people standing together."""
average people,🙎‍♂️🙎‍♀️,"[':man_pouting:', ':woman_pouting:']",Semantic list,COMMONNESS,"""Everyday individuals, representing the average person."""
average people,👨🧑🤷,"[':man:', ':person:', ':person_shrugging:']",Metaphorical,COMMONNESS,"""Average people often find themselves unsure about various situations."""
average merit,📝👌,"[':memo:', ':OK_hand:']",Metaphorical,ORDINARINESS,"""Your writing is good enough to meet average standards."""
average merit,🏆🏆🙆‍♀️,"[':trophy:', ':trophy:', ':woman_gesturing_OK:']",Metaphorical,ORDINARINESS,"""She achieved average merit by winning two trophies."""
average merit,😐💯,"[':neutral_face:', ':hundred_points:']",Direct,ORDINARINESS,"The performance was average, but it met expectations perfectly."
average merit,😐💼🥉,"[':neutral_face:', ':briefcase:', ':3rd_place_medal:']",Direct,ORDINARINESS,"""Feeling indifferent about my average performance at work, just like receiving a bronze medal."""
average merit,🥈,[':2nd_place_medal:'],Single,ORDINARINESS,The silver medal represents average merit in competitions.
average merit,🙆‍♂️🙆,"[':man_gesturing_OK:', ':person_gesturing_OK:']",Semantic list,ORDINARINESS,"""He's a typical guy, just like everyone else."""
average merit,🏅🤷,"[':sports_medal:', ':person_shrugging:']",Direct,ORDINARINESS,"""Receiving a medal, but unsure if it truly reflects my average performance."""
average size,🧍,[':person_standing:'],Single,MODERATION,The average-sized person stands confidently.
average size,👕👍👎,"[':t-shirt:', ':thumbs_up:', ':thumbs_down:']",Metaphorical,MODERATION,"The shirt fits well, but it's not the right size for me."
average size,🤨🤲,"[':face_with_raised_eyebrow:', ':palms_up_together:']",Metaphorical,MODERATION,"""Can you show me what an average size looks like?"""
average size,❌⬛❌▪,"[':cross_mark:', ':black_large_square:', ':cross_mark:', ':black_small_square:']",Metaphorical,MODERATION,The average size is neither too large nor too small; it falls right in the middle.
average size,〰️⚖️,"[':wavy_dash:', ':balance_scale:']",Direct,MODERATION,The average size is represented by a balance between different measurements.
average size,🧍‍♂️🧍,"[':man_standing:', ':person_standing:']",Semantic list,MODERATION,The average-sized man stands next to another average-sized person.
average size,🤷📏,"[':person_shrugging:', ':straight_ruler:']",Direct,MODERATION,The average size is uncertain or varies.
dirty job,👎📝,"[':thumbs_down:', ':memo:']",Direct,CLEANNESS,The task is unpleasant and requires a lot of note-taking.
dirty job,💩🧹,"[':pile_of_poo:', ':broom:']",Direct,CLEANNESS,Cleaning up messes can be a dirty job.
dirty job,🪠🚽🧹,"[':plunger:', ':toilet:', ':broom:']",Metaphorical,CLEANNESS,Cleaning up messy situations can be a dirty job.
dirty job,🦠💣🦹‍♂️🦠🦹💣🦠,"[':microbe:', ':bomb:', ':man_supervillain:', ':microbe:', ':supervillain:', ':bomb:', ':microbe:']",Metaphorical,CLEANNESS,"""Dealing with dangerous pathogens is a dirty job that requires a lot of caution and expertise."""
dirty job,🤮🤢👷‍♂️,"[':face_vomiting:', ':nauseated_face:', ':man_construction_worker:']",Direct,CLEANNESS,"""Working as a construction worker can sometimes be a really gross job."""
dirty job,💩💼,"[':pile_of_poo:', ':briefcase:']",Direct,CLEANNESS,"""Working a dirty job can feel like handling a load of crap."""
dirty job,🤢🧳,"[':nauseated_face:', ':luggage:']",Direct,CLEANNESS,"""Packing my suitcase for a dirty job that’s bound to make me feel queasy."""
dirty job,🚽👷🛠️,"[':toilet:', ':construction_worker:', ':hammer_and_wrench:']",Metaphorical,CLEANNESS,Cleaning toilets is a tough job for a plumber.
dirty foot,👎🦶,"[':thumbs_down:', ':foot:']",Direct,CLEANNESS,"""That's a dirty foot!"""
dirty foot,🤢🦶,"[':nauseated_face:', ':foot:']",Direct,CLEANNESS,"""That foot is so dirty, it makes me feel nauseous!"""
dirty foot,🥵🦶💩,"[':hot_face:', ':foot:', ':pile_of_poo:']",Direct,CLEANNESS,"""That dirty foot really stinks!"""
dirty foot,🧼🦶,"[':soap:', ':foot:']",Metaphorical,CLEANNESS,"""I need to wash my dirty foot."""
dirty foot,🤮🦶,"[':face_vomiting:', ':foot:']",Direct,CLEANNESS,The thought of a dirty foot makes me feel nauseous.
dirty foot,💩👣,"[':pile_of_poo:', ':footprints:']",Direct,CLEANNESS,"""Watch out for that dirty foot!"""
dirty foot,😖🦶,"[':confounded_face:', ':foot:']",Direct,CLEANNESS,"""My foot is so dirty that it makes me feel disgusted."""
dirty foot,👃🦶🤢,"[':nose:', ':foot:', ':nauseated_face:']",Metaphorical,CLEANNESS,The smell of that dirty foot made me feel nauseous.
dirty dish,👎🐟,"[':thumbs_down:', ':fish:']",Direct,CLEANNESS,"""That dirty fish dish is not appealing at all."""
dirty dish,🍽️🪰,"[':fork_and_knife_with_plate:', ':fly:']",Metaphorical,CLEANNESS,The dirty dish has a fly on it.
dirty dish,🍽️😰👎,"[':fork_and_knife_with_plate:', ':anxious_face_with_sweat:', ':thumbs_down:']",Metaphorical,CLEANNESS,The dirty dish makes me feel anxious and I just can't stand it.
dirty dish,🧼🍽️,"[':soap:', ':fork_and_knife_with_plate:']",Metaphorical,CLEANNESS,It's time to wash the dirty dishes.
dirty dish,🤮🍽,"[':face_vomiting:', ':fork_and_knife_with_plate:']",Direct,CLEANNESS,"""That dirty dish made me feel nauseous!"""
dirty dish,💩🍽️,"[':pile_of_poo:', ':fork_and_knife_with_plate:']",Direct,CLEANNESS,"""There's a dirty dish on the table that looks like a mess!"""
dirty dish,🤮🍽,"[':face_vomiting:', ':fork_and_knife_with_plate:']",Direct,CLEANNESS,The dirty dish made me feel nauseous.
dirty dish,🧼🍽️🧫,"[':soap:', ':fork_and_knife_with_plate:', ':petri_dish:']",Metaphorical,CLEANNESS,"""Time to wash the dirty dishes!"""
dirty slum,👎🏚️,"[':thumbs_down:', ':derelict_house:']",Direct,CLEANNESS,The rundown slum is a place filled with dirt and neglect.
dirty slum,🪰🏠,"[':fly:', ':house:']",Metaphorical,CLEANNESS,The fly buzzed around the filthy home in the slum.
dirty slum,🦠🛖🦠,"[':microbe:', ':hut:', ':microbe:']",Direct,CLEANNESS,The slum is filled with germs and unsanitary conditions.
dirty slum,🧼🦠🏚️,"[':soap:', ':microbe:', ':derelict_house:']",Metaphorical,CLEANNESS,The filthy slum is in desperate need of cleaning to eliminate the germs and grime.
dirty slum,🤮🛖,"[':face_vomiting:', ':hut:']",Direct,CLEANNESS,The filthy conditions of the slum make anyone feel nauseous.
dirty slum,💩💸🏠,"[':pile_of_poo:', ':money_with_wings:', ':house:']",Direct,CLEANNESS,"The rundown slum is filled with filth and poverty, where money seems to disappear just as quickly as it comes."
dirty slum,🥴🧟‍♂️,"[':woozy_face:', ':man_zombie:']",Metaphorical,CLEANNESS,"In the rundown slum, the air was thick with despair, and the locals stumbled around like zombies, their faces marked by exhaustion and hopelessness."
dirty slum,😣🔞💸,"[':persevering_face:', ':no_one_under_eighteen:', ':money_with_wings:']",Metaphorical,CLEANNESS,"In a dirty slum, frustration and desperation often lead to risky financial decisions."
dirty work,👎📝,"[':thumbs_down:', ':memo:']",Direct,CLEANNESS,"""Writing reports on unpleasant tasks is not enjoyable."""
dirty work,🚔📃,"[':oncoming_police_car:', ':page_with_curl:']",Metaphorical,CLEANNESS,The police are issuing a summons for the illegal activities involved in the dirty work.
dirty work,🪠🚽🧹💰👵👴,"[':plunger:', ':toilet:', ':broom:', ':money_bag:', ':old_woman:', ':old_man:']",Metaphorical,CLEANNESS,"""Cleaning up the mess in the bathroom could lead to a surprising reward for the elderly couple."""
dirty work,🦠💼,"[':microbe:', ':briefcase:']",Metaphorical,CLEANNESS,"""The job involves dealing with the dirty work of handling germs and pathogens."""
dirty work,🤮🛠,"[':face_vomiting:', ':hammer_and_wrench:']",Direct,CLEANNESS,Doing the dirty work can sometimes feel disgusting and unpleasant.
dirty work,💩⛑️💼,"[':pile_of_poo:', ':rescue_worker’s_helmet:', ':briefcase:']",Direct,CLEANNESS,"""Dealing with the messy tasks in the office requires a lot of effort and a protective mindset."""
dirty work,😒🧳,"[':unamused_face:', ':luggage:']",Direct,CLEANNESS,"""I'm feeling annoyed about having to deal with this dirty work and pack my bags."""
dirty work,🚽👷🛠️,"[':toilet:', ':construction_worker:', ':hammer_and_wrench:']",Metaphorical,CLEANNESS,"""Fixing the toilet is a tough job for the maintenance worker."""
dirty money,👎💰,"[':thumbs_down:', ':money_bag:']",Direct,LEGALITY,"""Rejecting dirty money."""
dirty money,🤑💸🦹,"[':money-mouth_face:', ':money_with_wings:', ':supervillain:']",Metaphorical,LEGALITY,"""An unscrupulous character is making a fortune with dirty money."""
dirty money,😈💵💵🚫👉👮,"[':smiling_face_with_horns:', ':dollar_banknote:', ':dollar_banknote:', ':prohibited:', ':backhand_index_pointing_right:', ':police_officer:']",Metaphorical,LEGALITY,"The devil is trying to get away with dirty money, but the police are on the case."
dirty money,🦠🤐🤑💸🦠,"[':microbe:', ':zipper-mouth_face:', ':money-mouth_face:', ':money_with_wings:', ':microbe:']",Metaphorical,LEGALITY,"""Silent about the dirty money, I can't help but feel greedy as it flows in."""
dirty money,🤮💵,"[':face_vomiting:', ':dollar_banknote:']",Direct,LEGALITY,The sight of dirty money makes me feel nauseous.
dirty money,💩💵💰,"[':pile_of_poo:', ':dollar_banknote:', ':money_bag:']",Direct,LEGALITY,"""Unclean profits are often referred to as dirty money."""
dirty money,😒💰,"[':unamused_face:', ':money_bag:']",Metaphorical,LEGALITY,"""Feeling frustrated about the shady dealings that come with dirty money."""
dirty money,🚓🛑💵💵💵,"[':police_car:', ':stop_sign:', ':dollar_banknote:', ':dollar_banknote:', ':dollar_banknote:']",Metaphorical,LEGALITY,The police are stopping a vehicle involved in a dirty money operation.
dirty overall,👎🧥,"[':thumbs_down:', ':coat:']",Metaphorical,CLEANNESS,The dirty overall is not worth keeping.
dirty overall,🤢🤮😒,"[':nauseated_face:', ':face_vomiting:', ':unamused_face:']",Semantic list,CLEANNESS,This situation is really disgusting and makes me feel nauseous.
dirty overall,😵‍💫😖👉🛁,"[':face_with_spiral_eyes:', ':confounded_face:', ':backhand_index_pointing_right:', ':bathtub:']",Metaphorical,CLEANNESS,"Feeling overwhelmed and frustrated, I need to take a bath to wash off the dirt and grime."
dirty overall,🧼👕,"[':soap:', ':t-shirt:']",Metaphorical,CLEANNESS,It's time to wash the dirty clothes.
dirty overall,🤮👗👚,"[':face_vomiting:', ':dress:', ':woman’s_clothes:']",Direct,CLEANNESS,The outfit looks so dirty that it makes me want to vomit.
dirty overall,💩👘,"[':pile_of_poo:', ':kimono:']",Direct,CLEANNESS,"""There's a dirty overall that needs to be cleaned."""
dirty overall,🧍‍♂️🤢,"[':man_standing:', ':nauseated_face:']",Direct,CLEANNESS,The man feels nauseous because his overall is dirty.
dirty overall,💩👖,"[':pile_of_poo:', ':jeans:']",Direct,CLEANNESS,The dirty overalls are covered in mud and stains.
dirty fighter,👎🥊,"[':thumbs_down:', ':boxing_glove:']",Direct,FAIRNESS,"""A dirty fighter resorts to cheap tactics and plays unfairly in the ring."""
dirty fighter,🤬😡,"[':face_with_symbols_on_mouth:', ':pouting_face:']",Metaphorical,FAIRNESS,The dirty fighter was furious and enraged after the unfair tactics used by their opponent.
dirty fighter,❌⚖️ 💪👨‍🦲💢,"[':cross_mark:', ':balance_scale:', ':flexed_biceps:', ':man_bald:', ':anger_symbol:']",Metaphorical,FAIRNESS,A dirty fighter uses underhanded tactics to gain an unfair advantage in a competition.
dirty fighter,🤬🤼‍♂️,"[':face_with_symbols_on_mouth:', ':men_wrestling:']",Direct,FAIRNESS,A dirty fighter resorts to foul tactics during a wrestling match.
dirty fighter,🤮🥋,"[':face_vomiting:', ':martial_arts_uniform:']",Direct,FAIRNESS,The dirty fighter made the crowd sick with their underhanded tactics.
dirty fighter,💩👊🥊,"[':pile_of_poo:', ':oncoming_fist:', ':boxing_glove:']",Direct,FAIRNESS,"""That dirty fighter isn't afraid to get down and dirty in the ring!"""
dirty fighter,😑😒🥊,"[':expressionless_face:', ':unamused_face:', ':boxing_glove:']",Metaphorical,FAIRNESS,A fighter who uses underhanded tactics and plays dirty in the ring.
dirty fighter,👿👊🥊🤼,"[':angry_face_with_horns:', ':oncoming_fist:', ':boxing_glove:', ':people_wrestling:']",Metaphorical,FAIRNESS,A dirty fighter uses underhanded tactics to gain an advantage in the ring.
common procedure,🖥,[':desktop_computer:'],Single,COMMONNESS,Setting up a computer is a common procedure for starting work or school.
common procedure,😬📋1️⃣2️⃣3️⃣,"[':grimacing_face:', ':clipboard:', ':keycap_1:', ':keycap_2:', ':keycap_3:']",Metaphorical,COMMONNESS,"""Reviewing the common procedure step-by-step."""
common procedure,👥🔃,"[':busts_in_silhouette:', ':clockwise_vertical_arrows:']",Direct,COMMONNESS,"""People are engaging in a common procedure of exchanging ideas."""
common procedure,▶️🪜,"[':play_button:', ':ladder:']",Metaphorical,COMMONNESS,"""Use a ladder to reach high places safely."""
common procedure,🤲✍️,"[':palms_up_together:', ':writing_hand:']",Metaphorical,COMMONNESS,"""Writing down important information is a common procedure."""
common procedure,🪛🔧🤝,"[':screwdriver:', ':wrench:', ':handshake:']",Metaphorical,COMMONNESS,"""Using a screwdriver and a wrench together is a common procedure for assembling furniture."""
common procedure,👥💉🩺🩹🩸🧑‍⚕️👥,"[':busts_in_silhouette:', ':syringe:', ':stethoscope:', ':adhesive_bandage:', ':drop_of_blood:', ':health_worker:', ':busts_in_silhouette:']",Metaphorical,COMMONNESS,The common procedure involves a group of healthcare professionals administering vaccinations to patients.
common procedure,🔄🧑‍⚕️💉,"[':counterclockwise_arrows_button:', ':health_worker:', ':syringe:']",Metaphorical,COMMONNESS,The common procedure involves a healthcare professional administering a vaccine.
common knowledge,🧐🧠,"[':face_with_monocle:', ':brain:']",Metaphorical,COMMONNESS,"""Using critical thinking and knowledge helps us understand the world better."""
common knowledge,🧠🤔😒,"[':brain:', ':thinking_face:', ':unamused_face:']",Metaphorical,COMMONNESS,"""Thinking about why some common knowledge seems so obvious, yet others find it challenging."""
common knowledge,👥📚,"[':busts_in_silhouette:', ':books:']",Direct,COMMONNESS,"""People often share common knowledge by discussing books together."""
common knowledge,▶️🧠,"[':play_button:', ':brain:']",Direct,COMMONNESS,"""Using your brain to understand common knowledge."""
common knowledge,🤲🧠,"[':palms_up_together:', ':brain:']",Direct,COMMONNESS,"""Sharing knowledge and ideas enriches our understanding."""
common knowledge,🥸👫🤲,"[':disguised_face:', ':woman_and_man_holding_hands:', ':palms_up_together:']",Metaphorical,COMMONNESS,"""People often share common knowledge and ideas with each other."""
common knowledge,👥📚📖👥,"[':busts_in_silhouette:', ':books:', ':open_book:', ':busts_in_silhouette:']",Metaphorical,COMMONNESS,"""People sharing and discussing common knowledge through books and reading."""
common knowledge,🧠🧠🌎,"[':brain:', ':brain:', ':globe_showing_Americas:']",Direct,COMMONNESS,"""Understanding the world requires a collective brain, as common knowledge connects us all."""
common land,🏞,[':national_park:'],Single,COMMONALITY,The common land is a beautiful landscape filled with nature and open spaces for everyone to enjoy.
common land,🌆🏙️🌉🏝️,"[':cityscape_at_dusk:', ':cityscape:', ':bridge_at_night:', ':desert_island:']",Semantic list,COMMONALITY,"The vibrant city skyline, with its towering buildings and iconic bridges, contrasts beautifully with the serene island landscape nearby, showcasing the diverse types of common land we can experience."
common land,👥⛰,"[':busts_in_silhouette:', ':mountain:']",Direct,COMMONALITY,"""People gather on the common land in the mountains."""
common land,▶️🧱,"[':play_button:', ':brick:']",Metaphorical,COMMONALITY,"""Build a foundation on common land."""
common land,🤲🌆,"[':palms_up_together:', ':cityscape_at_dusk:']",Direct,COMMONALITY,"""Open hands welcome everyone to share in the beauty of our common land."""
common land,🤝🏝️,"[':handshake:', ':desert_island:']",Direct,COMMONALITY,"""People are coming together to share and protect a common land."""
common land,👥🏝️🙌👥,"[':busts_in_silhouette:', ':desert_island:', ':raising_hands:', ':busts_in_silhouette:']",Direct,COMMONALITY,"""People gather together on common land to celebrate and enjoy their shared space."""
common land,🌎🇦🇽🇮🇴🇻🇬🇧🇶🇧🇶🇰🇾,"[':globe_showing_Americas:', ':Åland_Islands:', ':British_Indian_Ocean_Territory:', ':British_Virgin_Islands:', ':Caribbean_Netherlands:', ':Caribbean_Netherlands:', ':Cayman_Islands:']",Semantic list,COMMONALITY,"The emoji represents various territories and regions around the world, highlighting the concept of common land shared by diverse communities."
common nuisance,🤬,[':face_with_symbols_on_mouth:'],Single,COMMONNESS,The constant noise from the construction site is such a common nuisance that it makes me want to scream in frustration.
common nuisance,😒😒,"[':unamused_face:', ':unamused_face:']",Reduplication,COMMONNESS,"""Dealing with constant interruptions can be a real common nuisance."""
common nuisance,👥😩,"[':busts_in_silhouette:', ':weary_face:']",Direct,COMMONNESS,Dealing with annoying people can be a common nuisance.
common nuisance,🤒🤕,"[':face_with_thermometer:', ':face_with_head-bandage:']",Semantic list,COMMONNESS,Feeling under the weather with a cold and a headache is a common nuisance that many people experience.
common nuisance,🤲🙅‍♂️,"[':palms_up_together:', ':man_gesturing_NO:']",Direct,COMMONNESS,"""Please stop bothering me; I'm not interested in what you're offering."""
common nuisance,😒💢🙍‍♂️,"[':unamused_face:', ':anger_symbol:', ':man_frowning:']",Semantic list,COMMONNESS,"""I'm really frustrated with this common nuisance."""
common nuisance,👥🪰🪳🕷️👥,"[':busts_in_silhouette:', ':fly:', ':cockroach:', ':spider:', ':busts_in_silhouette:']",Metaphorical,COMMONNESS,"""People often find flies, cockroaches, and spiders to be common nuisances."""
common nuisance,😝😝🔄,"[':squinting_face_with_tongue:', ':squinting_face_with_tongue:', ':counterclockwise_arrows_button:']",Metaphorical,COMMONNESS,"""People often find it annoying when someone keeps making silly faces."""
common sailor,⛵️👨🏻⚓️,"[':sailboat:', '', ':man_light_skin_tone:', ':anchor:', '']",Metaphorical,COMMONNESS,A common sailor navigates the seas on his sailboat.
common sailor,🚢⚓👬,"[':ship:', ':anchor:', ':men_holding_hands:']",Metaphorical,COMMONNESS,Two sailors on a ship are ready to set sail.
common sailor,👥👱‍♂️⛵️,"[':busts_in_silhouette:', ':man_blond_hair:', ':sailboat:', '']",Direct,COMMONNESS,A common sailor is often seen working alongside his crew on a boat.
common sailor,▶️⛵,"[':play_button:', ':sailboat:']",Metaphorical,COMMONNESS,A common sailor sets sail on the open sea.
common sailor,🤲⛵👨,"[':palms_up_together:', ':sailboat:', ':man:']",Direct,COMMONNESS,A common sailor welcomes the boat with open hands.
common sailor,🚤👦,"[':speedboat:', ':boy:']",Metaphorical,COMMONNESS,A young boy dreams of becoming a common sailor and navigating the open waters in his speedboat.
common sailor,👨‍✈️⚓,"[':man_pilot:', ':anchor:']",Metaphorical,COMMONNESS,"A common sailor works diligently on a ship, navigating the seas and ensuring safe passage."
common sailor,🧑‍✈️🚤,"[':pilot:', ':speedboat:']",Metaphorical,COMMONNESS,A common sailor navigates a speedboat across the water.
common housefly,🪰,[':fly:'],Single,COMMONNESS,"The common housefly buzzes around, often landing on food and surfaces in our homes."
common housefly,🪰😐,"[':fly:', ':neutral_face:']",Direct,COMMONNESS,"The common housefly is often seen buzzing around the house, and its presence can leave us feeling indifferent or annoyed."
common housefly,👥🪰,"[':busts_in_silhouette:', ':fly:']",Direct,COMMONNESS,Two people are discussing a common housefly.
common housefly,🏘️🏘️🏘️🪰🪰🪰🪰🪰,"[':houses:', ':houses:', ':houses:', ':fly:', ':fly:', ':fly:', ':fly:', ':fly:']",Reduplication,COMMONNESS,A neighborhood is buzzing with common houseflies.
common housefly,🤲🪰,"[':palms_up_together:', ':fly:']",Direct,COMMONNESS,"""Here are my hands trying to catch a common housefly."""
common housefly,🪰,[':fly:'],Single,COMMONNESS,"The common housefly buzzes around the house, often landing on food and surfaces."
common housefly,👥👥🪰,"[':busts_in_silhouette:', ':busts_in_silhouette:', ':fly:']",Direct,COMMONNESS,"""There are two people discussing the common housefly."""
common housefly,🏠🪰,"[':house:', ':fly:']",Direct,COMMONNESS,A common housefly is buzzing around the house.
common man,👨🏻,[':man_light_skin_tone:'],Single,COMMONNESS,"A common man goes about his daily life, embodying the experiences and struggles of everyday people."
common man,🧍🧍🤷,"[':person_standing:', ':person_standing:', ':person_shrugging:']",Metaphorical,COMMONNESS,"The common man stands in uncertainty, unsure of what to do next."
common man,👥🧍‍♂️,"[':busts_in_silhouette:', ':man_standing:']",Metaphorical,COMMONNESS,"""The common man is not alone; he stands with others."""
common man,▶️👦👦👦,"[':play_button:', ':boy:', ':boy:', ':boy:']",Metaphorical,COMMONNESS,Three boys representing the common man.
common man,🤲👨,"[':palms_up_together:', ':man:']",Direct,COMMONNESS,A common man extends his hands in gesture of openness and generosity.
common man,👨,[':man:'],Single,COMMONNESS,A common man strives to make a living and support his family.
